order_id,Customer ID,Product ID,Order Date
O101,C001,P001,01/08/23
O102,C002,P002,02/08/23
O103,C003,P003,02/08/23
O104,C004,P001,03/08/23
O105,C001,P002,04/08/23
O106,C002,P003,05/08/23
O107,C003,P001,05/08/23
O108,C004,P002,06/08/23
O109,C001,P003,06/08/23
O110,C002,P001,07/08/23
O111,C003,P002,08/08/23
O112,C004,P003,09/08/23
O113,C001,P001,10/08/23
O114,C002,P002,11/08/23
O115,C003,P003,11/08/23
O116,C004,P001,12/08/23
O117,C001,P002,13/08/23
O118,C002,P003,14/08/23
O119,C003,P001,14/08/23
O120,C004,P002,15/08/23